1501,2009-04-30T19:08:40.937,2009-04-30T19:22:09.610
1993,2009-04-30T23:03:06.070,2009-05-01T01:21:53.270
2654,2009-05-01T13:09:46.360,2009-05-01T18:25:43.823
3174,2009-05-02T17:09:47.603,2009-05-02T17:15:53.640
3286,2009-04-30T22:34:49.740,2009-05-02T21:41:19.727
5668,2009-05-03T00:58:04.857,2009-05-07T08:11:37.837
6125,2009-05-08T02:26:29.980,2009-05-08T03:50:01.650
6155,2009-05-08T02:56:01.937,2009-05-08T07:13:35.297
7450,2009-05-12T15:37:42.453,2009-05-12T16:00:26.563
8333,2009-05-14T18:41:53.100,2009-05-14T18:50:09.107
9049,2009-05-17T11:09:38.470,2009-05-17T11:09:38.690
9522,2009-05-18T16:09:36.723,2009-05-18T16:13:25.577
9704,2009-05-18T23:39:44.427,2009-05-19T01:56:43.000
9908,2009-05-19T14:55:50.607,2009-05-19T14:59:33.283
10171,2009-05-20T00:52:47.563,2009-05-20T01:41:43.863
11474,2009-05-22T21:44:24.213,2009-05-22T22:57:29.120
11675,2009-05-23T21:37:01.193,2009-05-23T21:52:18.637
12298,2009-05-26T17:17:23.697,2009-05-26T17:27:52.320
12702,2009-05-27T10:03:15.070,2009-05-27T10:15:29.570
13133,2009-05-27T16:42:58.210,2009-05-27T17:14:35.087
13266,2009-05-27T09:25:29.280,2009-05-27T19:25:35.870
13650,2009-05-28T10:50:34.727,2009-05-28T11:03:55.310
13684,2009-05-28T12:07:42.870,2009-05-28T12:11:49.653
15134,2009-05-29T20:30:47.897,2009-05-29T20:50:52.723
15824,2009-05-30T20:19:48.523,2009-05-30T20:26:29.850
16196,2009-05-31T13:11:11.750,2009-05-31T13:25:11.157
16811,2009-06-01T13:50:13.980,2009-06-01T13:54:01.977
17010,2009-06-01T16:56:27.870,2009-06-01T17:21:16.790
17632,2009-06-02T10:40:10.863,2009-06-02T10:52:02.917
17690,2009-05-13T13:38:52.057,2009-06-02T12:25:51.120
18409,2009-05-21T22:14:23.860,2009-06-03T02:21:56.460
19566,2009-06-04T10:05:27.540,2009-06-04T10:16:20.980
20040,2009-06-04T02:58:22.427,2009-06-04T20:07:33.197
20100,2009-05-12T17:41:22.140,2009-06-04T21:35:07.933
20369,2009-06-05T07:49:16.967,2009-06-05T09:04:50.793
