290388,2015-07-21T19:03:26.920,2015-07-21T19:41:36.613
292108,2015-08-04T08:35:58.493,2015-08-07T14:03:55.913
298292,2012-05-20T07:29:46.137,2015-09-25T21:40:19.680
309045,2016-02-02T12:28:07.163,2016-02-02T13:32:35.587
311066,2016-02-25T10:00:51.870,2016-02-25T10:31:19.800
313107,2016-03-18T07:04:56.837,2016-03-18T07:38:48.843
316603,2016-04-22T16:57:21.407,2016-04-23T12:03:22.927
316777,2016-04-26T08:32:34.333,2016-04-26T08:48:46.080
317522,2016-05-04T12:09:14.607,2016-05-04T12:27:54.913
326017,2016-07-25T21:29:40.543,2016-07-28T13:25:09.357
331082,2016-09-14T21:01:52.110,2016-09-14T21:33:04.313
332760,2016-10-04T15:01:54.850,2016-10-04T15:26:25.730
338418,2016-12-18T22:13:34.107,2016-12-19T11:27:24.010
341495,2017-02-03T13:59:29.057,2017-02-03T14:39:05.777
343994,2017-03-11T07:38:42.900,2017-03-12T07:12:26.700
344361,2017-03-16T01:19:47.757,2017-03-17T15:13:27.720
349406,2017-05-22T10:48:06.233,2017-05-22T11:54:56.313
350745,2017-06-12T20:31:17.590,2017-06-12T22:00:42.790
350804,2017-06-13T13:12:43.420,2017-06-13T20:13:51.507
352419,2017-07-09T12:48:59.533,2017-07-09T15:10:45.300
353127,2017-07-19T23:21:15.037,2017-07-20T01:01:12.763
355510,2017-08-11T12:47:38.397,2017-08-11T13:47:53.617
357453,2017-09-14T22:04:11.880,2017-09-15T10:16:02.280
357674,2017-09-19T10:35:54.507,2017-09-19T10:57:38.160
359538,2017-10-21T14:32:32.023,2017-10-22T09:58:36.843
360506,2017-11-08T17:44:26.817,2017-11-09T11:15:31.133
