40,32,0.032*"log" + 0.016*"file" + 0.007*"1"
40,33,0.021*"log" + 0.013*"file" + 0.010*"event"
40,34,0.012*"log" + 0.009*"window" + 0.008*"file"
40,35,0.014*"file" + 0.013*"error" + 0.011*"log"
40,36,0.009*"log" + 0.008*"user" + 0.007*"file"
40,37,0.015*"log" + 0.011*"window" + 0.007*"like"
40,38,0.013*"log" + 0.008*"server" + 0.008*"window"
40,39,0.010*"log" + 0.006*"message" + 0.006*"file"


50,0,0.014*"window" + 0.014*"log" + 0.007*"file"
50,1,0.035*"log" + 0.014*"error" + 0.011*"file"
50,2,0.017*"log" + 0.011*"file" + 0.009*"message"
50,3,0.018*"file" + 0.017*"log" + 0.011*"logon"
50,4,0.020*"log" + 0.014*"event" + 0.012*"file"
50,5,0.032*"root" + 0.024*"1" + 0.013*"log"
50,6,0.014*"log" + 0.013*"file" + 0.009*"window"
50,7,0.016*"log" + 0.009*"file" + 0.008*"error"
50,8,0.010*"file" + 0.010*"log" + 0.007*"error"
50,9,0.021*"log" + 0.008*"pi" + 0.008*"would"
50,10,0.014*"log" + 0.013*"file" + 0.006*"pi"
50,11,0.025*"file" + 0.019*"log" + 0.008*"event"
50,12,0.024*"file" + 0.014*"log" + 0.010*"window"
50,13,0.024*"log" + 0.011*"window" + 0.011*"event"
50,14,0.014*"log" + 0.013*"file" + 0.007*"system"
50,15,0.136*"x" + 0.009*"file" + 0.009*"ff"
50,16,0.013*"file" + 0.013*"log" + 0.005*"pi"
50,17,0.014*"log" + 0.010*"time" + 0.010*"file"
50,18,0.025*"log" + 0.015*"file" + 0.013*"get"
50,19,0.031*"detectedmay" + 0.027*"wan" + 0.027*"14"
50,20,0.029*"log" + 0.019*"file" + 0.008*"attack"
50,21,0.015*"file" + 0.011*"log" + 0.007*"event"
50,22,0.016*"log" + 0.010*"file" + 0.007*"kernel"
50,23,0.018*"log" + 0.015*"window" + 0.010*"server"
50,24,0.019*"log" + 0.017*"file" + 0.011*"message"
50,25,0.020*"log" + 0.010*"file" + 0.008*"message"
50,26,0.030*"log" + 0.029*"file" + 0.016*"window"
50,27,0.009*"log" + 0.009*"time" + 0.009*"window"
50,28,0.018*"log" + 0.015*"file" + 0.013*"would"
50,29,0.070*"log" + 0.021*"file" + 0.008*"server"
50,30,0.011*"log" + 0.011*"file" + 0.008*"error"
50,31,0.017*"localhost" + 0.015*"log" + 0.014*"file"
50,32,0.018*"log" + 0.016*"file" + 0.009*"message"
50,33,0.031*"log" + 0.023*"file" + 0.006*"time"
50,34,0.014*"log" + 0.011*"pcreexec" + 0.009*"matchrdconf1c598"
50,35,0.014*"log" + 0.011*"file" + 0.008*"time"
50,36,0.025*"system" + 0.019*"opengl" + 0.019*"extension"
50,37,0.007*"file" + 0.007*"event" + 0.005*"kernel"
50,38,0.027*"log" + 0.012*"window" + 0.011*"error"
50,39,0.014*"log" + 0.009*"file" + 0.007*"set"
50,40,0.015*"window" + 0.013*"log" + 0.010*"error"
50,41,0.017*"log" + 0.010*"event" + 0.008*"server"
50,42,0.012*"file" + 0.011*"event" + 0.011*"window"
50,43,0.025*"window" + 0.022*"log" + 0.013*"event"
50,44,0.022*"log" + 0.018*"file" + 0.011*"window"
50,45,0.013*"log" + 0.011*"error" + 0.008*"file"
50,46,0.017*"using" + 0.013*"log" + 0.010*"server"
50,47,0.023*"log" + 0.019*"event" + 0.019*"window"
50,48,0.015*"log" + 0.013*"http11" + 0.012*"200"
50,49,0.034*"log" + 0.013*"file" + 0.006*"im"


