Year,Mean,StD
2008,55315.3689393,295016.713756
2009,34019.6673686,194290.367781
2010,33043.9233135,200228.258954
2011,26959.8646967,158800.109145
2012,28595.62272,157083.46245
2013,29035.0299063,154946.145438
2014,21324.5886331,117987.953049
2015,18357.6131261,95495.4726154
2016,11427.309674,59666.0255901
2017,4661.85013948,24524.7091816
