Year,Mean,StD
2008,nan,nan
2009,2127.48326563,6223.97491191
2010,44935.7633376,232974.783865
2011,62523.6007182,338797.397631
2012,47907.6900762,175526.244303
2013,36699.7416939,145373.161266
2014,35181.7522765,135408.625207
2015,11152.7056763,42810.8292045
2016,21000.5365497,62417.5993484
2017,10336.3260646,42791.4612393
