Year,Mean,StD
2008,nan,nan
2009,nan,nan
2010,67.6251333333,47.3411333333
2011,327.679242308,754.745751223
2012,104195.808282,414446.760364
2013,4395.58430513,11814.0822169
2014,5513.21901923,24987.1600506
2015,454.17939375,1117.65498441
2016,599.472888333,1143.2056493
2017,582.853528205,678.09213256
