Year,Mean,StD
2008,nan,nan
2009,nan,nan
2010,nan,nan
2011,43539.3195648,97984.3961078
2012,4768.92672333,10116.3316017
2013,69199.7209857,152023.134666
2014,10569.9054542,30760.9536946
2015,2156.52969524,3896.64104141
2016,7534.36422,12872.0449826
2017,nan,nan
