Year,Mean,StD
2008,nan,nan
2009,8.00988333333,0.0
2010,nan,nan
2011,4479.77678125,16838.0147952
2012,7024.18685833,33440.6424935
2013,46483.2810396,248489.764765
2014,30835.5446924,169577.024425
2015,10674.2841423,49975.1264939
2016,2831.96226431,8664.11461084
2017,712.004871831,1739.26271902
