Year,Mean,StD
2008,nan,nan
2009,28232.8832012,173385.42974
2010,23741.5460996,171882.637274
2011,32953.1228403,214111.767769
2012,27067.845288,175604.889528
2013,27417.416597,133365.556347
2014,20283.5868152,84293.6136835
2015,37930.111249,158370.445245
2016,11740.3007478,52276.387397
2017,4934.09003566,22585.0709584
